0_4xgapbs,0_4xgapbs,4xgapbs,12194350084
0_502xleela,0_502xleela,502xleela,1399012811
0_527xleela,0_527xleela,527xleela,1399012738
0_557xleela,0_557xleela,557xleela,1399012804
0_program,0_program,program,12162912149
100_4xgapbs,100_4xgapbs,4xgapbs,12178150086
100_502xleela,100_502xleela,502xleela,1379012497
100_527xleela,100_527xleela,527xleela,1379012257
100_557xleela,100_557xleela,557xleela,1379012233
100_program,100_program,program,11748962252
10_502xleela,10_502xleela,502xleela,2529010174
10_527xleela,10_527xleela,527xleela,2529011892
10_557xleela,10_557xleela,557xleela,2529011444
