Test Name,Benchmark,Percentage,Max Cycle Count
30_shared_data_microbench,shared_data_microbench,30,7355620010
30_program,program,30,12164362315
30_flush_and_reload,flush_and_reload,30,624116552
30_fill_private_microbench,fill_private_microbench,30,80364210005
30_noah_scs,noah_scs,30,30924110069
0_gapbs_all_cores,gapbs_all_cores,0,48189100041
60_557_xz_r,557_xz_r,60,1704010781
60_541_leela_r,541_leela_r,60,1704012812
30_557xleela,557xleela,30,2034012159
60_557xleela,557xleela,60,1704012208
30_541_leela_r,541_leela_r,30,2034012254
100_4xgapbs,4xgapbs,100,12178150086
30_527_cam4_r,527_cam4_r,30,2034012205
100_gapbs_all_cores,gapbs_all_cores,100,48129110041
60_527_cam4_r,527_cam4_r,60,1649012644
30_557_xz_r,557_xz_r,30,2034012202
70_4xgapbs,4xgapbs,70,12194390095
70_gapbs_all_cores,gapbs_all_cores,70,48188950041
40_4xgapbs,4xgapbs,40,12194540084
40_gapbs_all_cores,gapbs_all_cores,40,48189030083
10_4xgapbs,4xgapbs,10,12209980086
10_gapbs_all_cores,gapbs_all_cores,10,no_data
75_4xgapbs,4xgapbs,75,12194800085
75_gapbs_all_cores,gapbs_all_cores,75,48189080041
80_4xgapbs,4xgapbs,80,12194390225
80_gapbs_all_cores,gapbs_all_cores,80,48188960087
50_4xgapbs,4xgapbs,50,12194450086
50_gapbs_all_cores,gapbs_all_cores,50,48189090084
20_4xgapbs,4xgapbs,20,12217330087
20_gapbs_all_cores,gapbs_all_cores,20,48193480042
25_4xgapbs,4xgapbs,25,12221220084
25_gapbs_all_cores,gapbs_all_cores,25,48193720043
90_4xgapbs,4xgapbs,90,12197120088
90_gapbs_all_cores,gapbs_all_cores,90,48202400085
60_4xgapbs,4xgapbs,60,12194860083
60_gapbs_all_cores,gapbs_all_cores,60,48189020042
30_4xgapbs,4xgapbs,30,12194540083
30_gapbs_all_cores,gapbs_all_cores,30,48188980083
