Test Name,Benchmark,Percentage,AMAT,Max Cycle Count,L3 Accesses,L2 Private Hit Rate,L2 Shared Hit Rate,L2 MPKI,L2S MPKI,L2P MPKI
10_527xleela,527xleela,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_541_leela_r,541_leela_r,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_557_xz_r,557_xz_r,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_557xleela,557xleela,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_fill_private_microbench,fill_private_microbench,10,8.11602091462641,86897027455,11125190627,3.128036190295055e-08,1.7977220046788287e-10,222.5037922832294,111.2518961316147,111.2518961516147
10_flush_and_reload,flush_and_reload,10,6.976554314489893,703853193,132535721,1.5090271171644796e-08,0.0,63.04831542211167,31.524157711055835,31.524157711055835
10_noah_scs,noah_scs,10,15.859113099157321,33611645071,11814186342,0.0,0.0,236.28366374753608,118.14183187376804,118.14183187376804
10_program,program,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_shared_data_microbench,shared_data_microbench,10,4.589288880195302,7354856452,23136,6.632700144070194e-07,0.9999944621345249,41.77802543747849,0.00023135980344827898,41.77779407767504
75_502_gcc_r,502_gcc_r,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_502xleela,502xleela,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_527_cam4_r,527_cam4_r,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_527xleela,527xleela,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_541_leela_r,541_leela_r,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_557_xz_r,557_xz_r,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_557xleela,557xleela,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
75_fill_private_microbench,fill_private_microbench,75,5.097400112916208,66877188105,8083,0.04025291520143468,0.9999992419058668,106.62271944200522,8.082999680236532e-05,106.62263861200842
75_flush_and_reload,flush_and_reload,75,6.972536157854299,724105070,132163443,2.4136172441285016e-06,2.2774311723414414e-05,62.871935704420295,31.435609881868288,31.43632582255201
75_noah_scs,noah_scs,75,10.160947815423713,21011432226,5077655116,3.134243018116407e-08,0.4356522838819692,140.75038951485965,50.776537752455205,89.97385176240444
75_program,program,75,4.982225153995899,14657802330,951955020,1.1029591250449215e-05,1.994592272523474e-05,19.03928660294258,9.519548361489626,9.519738241452954
75_shared_data_microbench,shared_data_microbench,75,4.591615063390775,7355536291,19184,6.771103509155055e-08,0.9999954261669537,41.943088500793294,0.00019183980680580415,41.94289666098649
80_502_gcc_r,502_gcc_r,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_502xleela,502xleela,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_527_cam4_r,527_cam4_r,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_527xleela,527xleela,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_557_xz_r,557_xz_r,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_541_leela_r,541_leela_r,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_557xleela,557xleela,80,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
80_fill_private_microbench,fill_private_microbench,80,5.097400112916208,66877188105,8083,0.04025291520143468,0.9999992419058668,106.62271944200522,8.082999680236532e-05,106.62263861200842
80_flush_and_reload,flush_and_reload,80,6.972533066233118,726354435,132163307,2.436317885037589e-06,2.294078827438808e-05,62.87187624090836,31.435577533717794,31.436298707190566
80_noah_scs,noah_scs,80,10.147153693980066,20979653608,5058821466,3.1564718940766084e-08,0.4377454831476497,140.56205651529922,50.58820462431197,89.97385189098726
80_program,program,80,4.982225506790208,14657971431,951955715,1.1041137698156449e-05,1.9961664570171914e-05,19.03929187754154,9.519550923832913,9.519740953708627
80_shared_data_microbench,shared_data_microbench,80,4.593768992622405,7355646945,19199,8.860785164297984e-08,0.9999954391895591,42.09575897887925,0.0001919899014362244,42.09556698897782
50_502_gcc_r,502_gcc_r,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_502xleela,502xleela,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_527_cam4_r,527_cam4_r,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_527xleela,527xleela,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_541_leela_r,541_leela_r,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_557_xz_r,557_xz_r,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_557xleela,557xleela,50,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
50_fill_private_microbench,fill_private_microbench,50,5.0630895625658106,66877187154,8099,0.14321256740229046,0.9999991491251911,95.18446576554992,8.098999521430118e-05,95.1843847755547
50_flush_and_reload,flush_and_reload,50,6.973608516509977,717693176,132262920,1.4780937136515586e-05,6.124161661808959e-07,62.91856104413011,31.45927088897612,31.459290155153987
50_program,program,50,4.983088122195526,14658402851,953695776,1.9913701366383568e-05,4.6975125697886795e-07,19.073912363186967,9.53695394159438,9.536958421592587
50_noah_scs,noah_scs,50,13.478327124203842,28525313718,9351580867,1.8344529463870164e-07,0.034606740469575605,190.38385463941862,93.51578321593897,96.86807142347965
50_shared_data_microbench,shared_data_microbench,50,4.591415669446529,7355187270,19215,6.162842411122732e-07,0.9999954172178828,41.92885658519428,0.00019214993357376798,41.92866443526071
