Test Name,Benchmark,Percentage,Max Cycle Count
30_shared_data_microbench,shared_data_microbench,30,735930008
60_shared_data_microbench,shared_data_microbench,60,735890014
60_noah_scs,noah_scs,60,2675570046
30_502_gcc_r,502_gcc_r,30,964820340
30_noah_scs,noah_scs,30,2883070066
30_502xleela,502xleela,30,965090334
30_program,program,30,419460062
30_527xleela,527xleela,30,967010355
60_541_leela_r,541_leela_r,60,783390601
100_4xgapbs,4xgapbs,100,1199470092
100_gapbs_all_cores,gapbs_all_cores,100,4708890042
30_541_leela_r,541_leela_r,30,966961580
90_541_leela_r,541_leela_r,90,717280576
70_4xgapbs,4xgapbs,70,1201510086
70_gapbs_all_cores,gapbs_all_cores,70,4714960139
40_4xgapbs,4xgapbs,40,1201530089
40_gapbs_all_cores,gapbs_all_cores,40,4714970111
10_4xgapbs,4xgapbs,10,1203540088
10_gapbs_all_cores,gapbs_all_cores,10,4720120081
75_4xgapbs,4xgapbs,75,1201490087
75_gapbs_all_cores,gapbs_all_cores,75,4714780083
80_4xgapbs,4xgapbs,80,1201470085
80_gapbs_all_cores,gapbs_all_cores,80,4714890083
50_4xgapbs,4xgapbs,50,1201580087
50_gapbs_all_cores,gapbs_all_cores,50,4714980084
20_4xgapbs,4xgapbs,20,1203120097
20_gapbs_all_cores,gapbs_all_cores,20,4715090081
25_4xgapbs,4xgapbs,25,1203380091
25_gapbs_all_cores,gapbs_all_cores,25,4715540082
90_4xgapbs,4xgapbs,90,1201720122
90_gapbs_all_cores,gapbs_all_cores,90,4715670088
60_4xgapbs,4xgapbs,60,1201550086
60_gapbs_all_cores,gapbs_all_cores,60,4714870041
30_4xgapbs,4xgapbs,30,1201580086
30_gapbs_all_cores,gapbs_all_cores,30,4714790084
