Test Name,Benchmark,Percentage,AMAT,Max Cycle Count,L3 Accesses,L2 Private Hit Rate,L2 Shared Hit Rate,L2 MPKI,L2S MPKI,L2P MPKI
0_4xgapbs,4xgapbs,0,4.0334110258732565,1214861656,3147758,0.06883792807018686,0,0.31477438804800495,0.0,0.31477438804800495
0_502_gcc_r,502_gcc_r,0,4.722858924578141,662854378,45893373,0.8757779413234473,0,4.589243915311265,0.0,4.589243915311265
0_502xleela,502xleela,0,4.722684248215882,662777473,45888173,0.8757540488213754,0,4.5887978205532525,0.0,4.5887978205532525
0_527_cam4_r,527_cam4_r,0,4.721996486967998,662549949,45856544,0.8756822730671489,0,4.585588898531055,0.0,4.585588898531055
0_527xleela,527xleela,0,4.7227158210408104,662689772,45893485,0.8757583431019909,0,4.58927449657196,0.0,4.58927449657196
0_541_leela_r,541_leela_r,0,4.722323750966316,662571617,45959220,0.8753641632955029,0,4.5959202843429585,0.0,4.5959202843429585
0_557_xz_r,557_xz_r,0,4.722332541958738,662827415,45903484,0.8755859548244715,0,4.590264558817833,0.0,4.590264558817833
0_557xleela,557xleela,0,4.722480517110472,662613238,45907984,0.875626685080469,0,4.590737972116073,0.0,4.590737972116073
0_fill_private_microbench,fill_private_microbench,0,7.926347132227954,8487287343,1049709271,0.055111125853459716,0,104.97080658301695,0.0,104.97080658301695
0_flush_and_reload,flush_and_reload,0,6.972520684364039,723045485,132162403,2.300904009371769e-05,0,31.435405581400158,0.0,31.435405581400158
90_557_xz_r,557_xz_r,90,5.450199139014101,741821723,82942692,5.418714170555239e-05,0.8692649517680012,71.73693007369388,8.294189720097588,63.44274035359629
0_noah_scs,noah_scs,0,11.306051223618717,2569172440,815564585,3.9162900769771585e-06,0,81.55635392844299,0.0,81.55635392844299
90_fill_private_microbench,fill_private_microbench,90,5.114003898649903,6672777554,8074,3.590399018465333e-09,0.9999927527795552,111.40890518071538,0.000807399043958792,111.40809778167142
0_program,program,0,4.069413436313951,421779912,3628827,0.006687727314159768,0,0.36287781406796027,0.0,0.36287781406796027
90_557xleela,557xleela,90,5.451455976721601,741769056,83482732,6.375185264278367e-05,0.8682903627954337,71.73100845183502,8.348135236212645,63.382873215622375
90_flush_and_reload,flush_and_reload,90,6.973340544591444,721126056,132164796,0.0,0.0020091162283052367,62.93523520916659,31.435974766916225,31.499260442250364
0_shared_data_microbench,shared_data_microbench,0,5.350520327071344,772406586,258773974,2.0813097304205406e-05,0,25.877393935016954,0.0,25.877393935016954
100_502_gcc_r,502_gcc_r,100,5.123743541542024,635280974,92343407,0,0.7742364758965757,9.234237331947307,9.234237331947307,0.0
100_502xleela,502xleela,100,5.120024735682277,634531313,91609688,0,0.7758356913528307,9.160925096890733,9.160925096890733,0.0
100_527_cam4_r,527_cam4_r,100,5.121631776942712,635057179,92013672,0,0.7747489445098262,9.20123042739019,9.20123042739019,0.0
100_527xleela,527xleela,100,5.1183922071754,634393090,91311473,0,0.7763916720335514,9.131063175514964,9.131063175514964,0.0
100_541_leela_r,541_leela_r,100,5.119011104883398,634140397,91302410,0,0.776688532489118,9.130157014424672,9.130157014424672,0.0
100_557_xz_r,557_xz_r,100,5.1182457592001125,634199306,91306423,0,0.7763665409136579,9.130589398278087,9.130589398278087,0.0
100_557xleela,557xleela,100,5.122353266267268,635371925,92229888,0,0.7741757914440507,9.222975957005978,9.222975957005978,0.0
100_fill_private_microbench,fill_private_microbench,100,5.110856130948622,6671017284,8077,0,0.99999272953406,0.0008076999268223867,0.0008076999268223867,0.0
100_flush_and_reload,flush_and_reload,100,6.972531217665276,711551614,132163200,0,2.004299915631004e-05,31.43559515133593,31.43559515133593,0.0
60_557_xz_r,557_xz_r,60,5.4945290539627205,807526884,201360989,0.45484361357087016,0.06801270686414203,41.741562155241944,20.136056620321916,21.60550553492003
100_noah_scs,noah_scs,100,9.023815709698916,1622149623,465941131,0,0.4286928880095653,46.593943316329955,46.593943316329955,0.0
60_557xleela,557xleela,60,5.500071548410533,809037851,202510219,0.45287984559336136,0.06629656960699906,41.93971995565669,20.25091323562467,21.68880672003202
60_fill_private_microbench,fill_private_microbench,60,5.110856041484166,6671047511,8086,3.2315149609749694e-07,0.9999927214377664,111.09405515213241,0.0008085991087620623,111.09324655302365
100_program,program,100,4.069471646977623,421248870,3633583,0,0.00594531524642883,0.3633534295742947,0.3633534295742947,0.0
60_flush_and_reload,flush_and_reload,60,6.974618026584119,716237124,132356201,1.4694968788717371e-05,6.044291921438923e-07,62.96302159494701,31.48150128329856,31.48152031164845
70_527xleela,527xleela,70,5.524656023223233,802375809,189650036,0.0693912455708087,0.4924919517106331,56.33375148270759,18.964961613471484,37.36878986923611
100_shared_data_microbench,shared_data_microbench,100,4.645767218036609,733067265,19215,0,0.9999580187478637,0.0019214927227306114,0.0019214927227306114,0.0
70_502_gcc_r,502_gcc_r,70,5.531525894323446,804000604,191032172,0.07153217762348216,0.4887536242233706,56.46899382407365,19.10315147751766,37.36584234655599
70_502xleela,502xleela,70,5.528521675750884,803010228,190298063,0.07152632918641125,0.4906878729872786,56.39318576066224,19.029684367297417,37.36350139336483
70_527_cam4_r,527_cam4_r,70,5.528546760508098,803731189,190716505,0.06995993382442209,0.4885992699068413,56.36452186777189,19.071618175514356,37.29290369225753
70_541_leela_r,541_leela_r,70,5.527994456553315,803987992,190732613,0.0697798005931515,0.48846005098706535,56.35842129697403,19.07298842847645,37.28543286849758
70_557_xz_r,557_xz_r,70,5.529081087498784,803304355,190216714,0.07117118088533249,0.49189723156297677,56.45755878620486,19.02141055559277,37.43614823061208
30_557xleela,557xleela,30,6.408101401810619,991649688,378686461,0.17626333039124215,0.000614365715950841,75.7600500314475,37.86838534587219,37.891664685575314
70_noah_scs,noah_scs,70,11.776249732432142,2679900654,866223433,3.4238980671604155e-07,0.008072992154316967,173.94938413394573,86.62219621551083,87.32718791843492
70_557xleela,557xleela,70,5.530304266157419,803874383,190841580,0.07139371448064046,0.4888548075871403,56.419448764678975,19.08389090567966,37.335557858999316
30_fill_private_microbench,fill_private_microbench,30,7.880730637817583,8422107365,1026008849,3.23151701751697e-07,0.07644397573890377,213.69408363992642,102.60083709826999,111.09324654165644
70_program,program,70,4.069622064163256,421805732,3651683,0.0018347988833696859,0.00305661202567707,0.7314479478042528,0.3651641802177188,0.3662837675865341
70_fill_private_microbench,fill_private_microbench,70,5.1108562098222645,6671047229,8083,2.6104156726721367e-08,0.99999272414123,111.09409495303804,0.000808299063989684,111.09328665397405
30_flush_and_reload,flush_and_reload,30,6.976545509409897,712584556,132534793,3.840486212496049e-06,0.0,63.04796034318345,31.523980171591724,31.523980171591724
70_shared_data_microbench,shared_data_microbench,70,4.5891163115185005,736126346,19162,6.801758597559381e-07,0.9999541072581347,41.755767665819114,0.0019161987272608052,41.75385146709185
40_502_gcc_r,502_gcc_r,40,5.493372725262379,807702995,201141252,0.45549955926460933,0.06747287370859195,41.68299049260261,20.113828577347206,21.569161915255407
70_flush_and_reload,flush_and_reload,70,6.9725536348768555,724062288,132165448,2.64815225894916e-06,1.3838523736855077e-05,62.872694731585,31.436129847967823,31.436564883617173
30_557_xz_r,557_xz_r,30,6.4020198637119545,990079897,377535296,0.1778170388173887,0.0006772128094978278,75.53232950816896,37.753372557296174,37.778956950872775
40_502xleela,502xleela,40,5.4899004716837565,806897645,200526424,0.4569217993737389,0.06695841785300842,41.543958464859955,20.052460895150205,21.491497569709747
40_527_cam4_r,527_cam4_r,40,5.4910306752495375,807183840,200918579,0.4549445483049608,0.06714339108970871,41.62954429308511,20.091710549404002,21.53783374368111
40_527xleela,527xleela,40,5.493764762121335,808064708,201293623,0.4543196903528196,0.0677617430856794,41.72135156552585,20.12911188378361,21.592239681742242
40_541_leela_r,541_leela_r,40,5.4913530802289765,807306883,200772074,0.4561292389744183,0.06743644517523997,41.605716221967384,20.076946253137,21.52876996883038
40_557_xz_r,557_xz_r,40,5.489596866932777,806741635,200512182,0.45670904228228265,0.06703361053128408,41.542757178291765,20.051045059225913,21.491712119065852
40_557xleela,557xleela,40,5.497247903953438,808666576,202088757,0.4540329856650864,0.06500211961608007,41.82254938455921,20.20880509649763,21.61374428806158
40_fill_private_microbench,fill_private_microbench,40,5.110856050960408,6671047190,8087,3.231514958066143e-07,0.9999927205376293,111.09405535213219,0.0008086991086518425,111.09324665302354
40_flush_and_reload,flush_and_reload,40,6.974639119629355,715515445,132358041,1.4747649546133908e-05,6.195312999414475e-07,62.963897374750665,31.481938935346015,31.48195843940465
40_noah_scs,noah_scs,40,11.776193890134154,2679795829,866072321,1.9881832141804944e-06,0.008685161566607749,173.97277173939628,86.60699291746765,87.36577882192863
40_program,program,40,4.0709991012060955,422074586,3802636,0.0038986788756299176,0.0001154329062666395,0.7605663469166715,0.38026122359550923,0.3803051233211623
40_shared_data_microbench,shared_data_microbench,40,4.5729440664050465,736006496,19180,6.4199834843154446e-06,0.9999527671370307,40.608956618510916,0.0019179866912821478,40.607038631819634
10_502_gcc_r,502_gcc_r,10,7.610626992616993,1227899094,593950696,0.01883313681027637,0.0,118.78984222539444,59.39492111269722,59.39492111269722
10_502xleela,502xleela,10,7.6093868729531735,1227848593,593843177,0.01854974524012064,0.0,118.76810901974082,59.38405450987041,59.38405450987041
10_527_cam4_r,527_cam4_r,10,7.6072920236016435,1227338473,593403145,0.01927603400027355,0.0,118.68015181084559,59.34007590542279,59.34007590542279
10_527xleela,527xleela,10,7.609639075442331,1227858989,593757502,0.019357012136046448,0.0,118.75111036197801,59.375555180989004,59.375555180989004
10_541_leela_r,541_leela_r,10,7.605021412424913,1226262085,592985313,0.01961372167806754,0.0,118.59660562355921,59.29830281177961,59.29830281177961
10_557_xz_r,557_xz_r,10,7.607813515787127,1226994473,593480023,0.019164542079660774,0.0,118.69539560953375,59.347697804766874,59.347697804766874
10_fill_private_microbench,fill_private_microbench,10,8.117965500368639,8603897652,1113031065,3.369177064755691e-07,0.0,222.60618982669567,111.30309491334783,111.30309491334783
10_557xleela,557xleela,10,7.605989163954611,1226229080,593151676,0.019580588918119056,0.0,118.63020674721214,59.31510337360607,59.31510337360607
10_flush_and_reload,flush_and_reload,10,6.98009032609003,700341184,132862976,1.5053102302132654e-08,0.0,63.20407986697753,31.602039933488765,31.602039933488765
10_noah_scs,noah_scs,10,13.611629120258222,3116840001,1073304822,9.317017668893863e-10,0.0,214.6607543329858,107.3303771664929,107.3303771664929
10_shared_data_microbench,shared_data_microbench,10,4.579297769498227,736045692,23113,6.795398666530395e-06,0.9999437049760982,41.05876313781037,0.002311273938999574,41.05645186387137
10_program,program,10,4.078502851357798,422962987,4622245,4.1536531487611405e-05,0.0,0.9244487450370362,0.4622243725185181,0.4622243725185181
75_502_gcc_r,502_gcc_r,75,5.090612041499451,708844939,87753905,0.05841262189040147,0.7675307955007091,46.52376050587718,8.775344289036974,37.748416216840205
75_502xleela,502xleela,75,5.086756899226589,708283933,87473639,0.05753228266548102,0.7674889925489901,46.36786474954493,8.74721514136042,37.62064960818451
75_527_cam4_r,527_cam4_r,75,5.089011919685316,708581415,87559822,0.058921484574790586,0.767681670324852,46.44542884144203,8.755955494335742,37.68947334710629
75_527xleela,527xleela,75,5.083749495871334,707518191,86773498,0.057392700844261874,0.7693146736197672,46.29278449022981,8.677332759453927,37.61545173077589
75_541_leela_r,541_leela_r,75,5.08885260875497,708416838,87866343,0.057532460696441516,0.7665259954922045,46.420898044950626,8.786624541574783,37.634273503375844
75_557_xz_r,557_xz_r,75,5.084566809434222,707587270,86807562,0.05732268681221182,0.7694757358962212,46.33730737046065,8.680750143440624,37.65655722702002
75_557xleela,557xleela,75,5.082384886185048,706874449,86465916,0.05820971956587877,0.7699764100425046,46.23580522402683,8.646440595967501,37.58936462805933
75_fill_private_microbench,fill_private_microbench,75,5.110856193624649,6671047232,8077,2.61041566797264e-08,0.9999927295421033,111.09409435306938,0.0008076990632306265,111.09328665400615
75_noah_scs,noah_scs,75,9.032043410920226,1981313748,467201282,3.371871188919599e-07,0.42714797331363896,128.27674327362016,46.71996546034431,81.55677781327584
80_502_gcc_r,502_gcc_r,80,5.086794456607176,708145854,87316779,0.057429263898994096,0.7680979723730065,46.3835682470172,8.731573845834479,37.65199440118272
80_541_leela_r,541_leela_r,80,5.085805583743178,708252836,87463671,0.05672190439679392,0.7672656085592168,46.326448956742205,8.746213280347039,37.58023567639516
80_527_cam4_r,527_cam4_r,80,5.086465451684661,707865130,87302338,0.05676419004763637,0.7682036402603564,46.39316619932417,8.730150042067482,37.663016157256685
80_502xleela,502xleela,80,5.086462031256934,707910705,86999177,0.05864821970352977,0.7691700801848376,46.38931408359506,8.699854852248547,37.68945923134651
80_flush_and_reload,flush_and_reload,80,6.972532607590873,724184048,132163164,2.4287550800703804e-06,2.2630604635505965e-05,62.871884599588455,31.43558658857848,31.436298011009974
75_program,program,75,4.06952853730134,421804846,3639793,0.001708860500375971,0.004864139825633533,0.7297243107994282,0.3639726217211449,0.3657516890782833
75_shared_data_microbench,shared_data_microbench,75,4.592370857725607,736146200,19159,7.383640623862756e-07,0.9999543666854309,41.986485237847816,0.001915895059864588,41.98456934278795
80_527xleela,527xleela,80,5.086988185372483,708316129,87400586,0.05780235849191822,0.7677600553581915,46.37309448023079,8.739925159696655,37.63316932053413
75_flush_and_reload,flush_and_reload,75,6.97253248003322,722140053,132163161,2.4363215164778867e-06,2.255494451824129e-05,62.87188079391848,31.43558587501536,31.436294918903116
